ID,Name,Origin,Description,Attack,Magical Force,Magical Defence,Defence,Intelligence,Health,Experience
348,Hupia,Taíno,Nocturnal ghost,10,5,8,11,15,7,8
349,Hyakume,Japanese,Creature with a hundred eyes,14,4,11,29,9,15,30
350,Hydros,Medieval Bestiary,Snake whose poison causes the victim to swell up,10,23,25,3,21,17,18
351,Hydrus,Medieval Bestiary,Snake from the Nile River that would kill crocodiles from the inside,21,21,15,11,25,15,12
352,Hypnalis,Medieval Bestiary,Snake that kills its victims in their sleep,25,27,6,14,15,9,27
353,Iara,Brazilian,Female water spirit,4,19,7,19,22,20,3
354,Ibong Adarna,Philippine,Bird that changes color each time it finishes a song,22,20,8,4,23,12,23
355,Iele,Romanian,Female nature spirits,30,15,19,7,16,26,17
356,Ifrit,Arabian,Fire genie,18,24,3,12,4,9,11
357,Ijiraq,Inuit,Spirit that kidnaps children,27,26,20,16,24,29,12
358,Ikiryō,Japanese,Can be considered a 'living ghost'; as it is a person's spirit outside their body,6,30,8,16,5,17,20
359,Ikuchi,Japanese,Sea serpent that travels over boats in an arc while dripping oil,9,30,17,20,21,26,18
360,Imp,Medieval,Diminutive; demonic servant,16,6,13,22,16,26,11
361,Impundulu,Southern Africa,Avian; vampiric lightning spirit,30,15,7,12,13,14,9
362,Indus Worm,Medieval Bestiaries,Giant; white; carnivorous worm,30,4,30,17,27,15,0
363,Inugami,Japanese,Dog spirit,30,9,26,22,21,20,17
364,Iratxoak,Basque,Diminutive; demonic servants,19,29,20,26,22,14,11
365,Irin,Jewish,Fallen angels,17,3,3,9,27,21,11
366,Ishigaq,Inuit,Little people,25,22,29,14,30,25,2
367,Jackalope,American,Rabbit with antlers,3,4,14,14,8,13,25
368,Jaculus,Medieval Bestiaries,Winged serpent or small dragon,6,26,23,5,7,6,27
369,Jasy Jaterei,Guaraní,Nature guardian and bogeyman,18,30,16,24,21,23,27
370,Jaud,Slavic,Vampirised premature baby,18,19,26,20,26,21,6
371,Jenglot,Java,Vampiric little people,20,16,11,27,3,28,1
372,Jengu,Sawa,Water spirit,30,5,7,14,3,5,27
373,Jenu,Mi'kmaq,Anthropophagous giant,10,4,20,20,15,12,7
374,Jersey Devil,American,Demonic dragon that was given birth to by an American living in New Jersey,25,7,7,30,23,15,21
375,Jiaolong,Chinese,Dragon,10,10,16,14,25,8,23
376,Jibakurei,Japanese,Spirit that protects a specific place,19,11,9,24,7,29,29
377,Jievaras,Lithuanian,House spirit,21,10,11,24,27,24,13
378,Jinn,Arabian; Islamic,Spiritual creatures; genii,26,19,29,28,5,14,14
379,Jogah,Iroquois,Little people nature spirit,11,10,30,23,20,28,18
380,Jörmungandr,Norse,Sea serpent,6,18,23,11,20,3,5
381,Jorōgumo,Japanese,Spider woman,24,15,5,8,16,28,6
382,Jotai,Japanese,Animated folding screen cloth,8,4,12,10,13,24,25
383,Jötunn,Norse,Gigantic nature spirits,27,28,23,27,9,26,4
384,Jujak,Korean,Bird,12,27,13,15,13,20,2
385,Jumbee,Guyanese,Malevolent spirit,3,15,19,13,27,27,3
386,Kabouter,Dutch,Little people that live underground; in mushrooms; or as house spirits,13,11,8,6,6,30,3
387,Kachina,Hopi and Puebloan,Nature spirit,30,8,5,8,22,21,3
388,Kahaku,Japanese,Little people and water spirits,6,21,7,6,10,26,28
389,Kajsa,Scandinavian,Wind spirit,7,5,5,17,9,13,4
390,Kalakeyas,Hindu,Descendents of Kala,29,4,16,21,8,9,24
391,Kallikantzaroi,Greek,Grotesque; malevolent spirit,15,20,20,17,18,7,26
392,Kamaitachi,Japanese,Wind spirit,5,6,4,11,7,13,13
393,Kamatayan,Philippine,Philippine counterpart of Death,19,4,22,27,30,9,9
394,Kami,Japanese,Nature spirit,23,14,18,21,16,26,9
395,Kanbo,Japanese,Drought spirit,28,30,20,25,15,25,29
396,Kanedama,Japanese,Money spirit,19,15,21,24,22,26,26
397,Kappa,Japanese,Little people and water spirits,27,30,16,17,29,30,2
398,Kapre,Philippine,Malevolent tree spirit,18,11,6,20,22,5,16
399,Karkinos,Greek,Giant crab,8,30,21,9,9,25,25
400,Karzełek,Polish,Little people and mine spirits,5,10,15,3,11,26,25
401,Kashanbo,Japanese,Kappa who climb into the mountains for the winter,13,3,16,28,15,18,6
402,Kaukas,Lithuanian,Nature spirit,9,14,7,28,20,17,27
403,Keelut,Inuit,Hairless dog,13,8,3,21,24,30,11
404,Kekkai,Japanese,Amorphous afterbirth spirit,12,13,18,25,18,19,9
405,Kelpie,Irish and Scottish,Malevolent water horse,12,8,7,25,28,10,12
406,Ker,Greek,Female death spirit,22,10,8,12,19,15,10
407,Keukegen,Japanese,Disease spirit,29,4,8,8,29,4,21
408,Keythong,Heraldic,Wingless griffin,16,27,25,28,3,11,16
409,Kijimunaa,Japanese,Tree sprite from Okinawa,4,27,10,13,13,7,5
410,Kikimora,Slavic,Female house spirit,20,4,18,20,30,16,10
411,Killmoulis,English and Scottish,Ugly; mischievous mill spirit,30,13,23,30,4,29,30
412,Kirin,Japanese,Japanese Unicorn,12,13,25,7,30,20,17
413,Kitsune,Japanese,Fox spirit,8,23,26,30,8,21,18
414,Klabautermann,German,Ship spirit,6,29,30,10,9,17,16
415,Knocker,folklore,Cornish and Welsh,11,20,8,23,10,17,5
416,Knucker,English,Water dragon,14,8,18,20,17,12,20
417,Kobold,German,Little people and mine or house spirits,3,6,10,14,17,25,1
418,Kodama,Japanese,Tree spirit,16,19,27,23,19,3,12
419,Kofewalt,Germanic,House spirit,3,21,23,19,14,11,26
420,Kokakuchō,Japanese,Ubume bird,23,24,28,7,15,18,13
421,Komainu,Japanese,Protective animal,29,12,25,27,14,15,22
422,Kongamoto,Congo,Flying creature,13,25,16,7,9,8,23
423,Korrigan,Breton,Little people and nature spirits,30,20,15,14,11,11,3
424,Kraken,Scandinavian,Sea monster,9,20,16,28,13,7,16
425,Krasnoludek,Slavic,Little people nature spirits,18,4,29,28,10,30,9
426,Krasue,Southeast Asian,Vampiric; floating head,4,18,13,16,30,5,16
427,Kuarahy Jára,Guaraní,Forest spirit,8,26,9,10,7,29,19
428,Kumakatok,Philippine,Death spirits,17,11,16,9,29,6,9
429,Kumiho,Korean,Fox spirit,30,23,5,14,9,21,21
430,Kun,Chinese,Giant fish,7,28,18,14,28,16,2
431,Kupua,Hawaiian,Shapeshifting tricksters,11,22,23,6,16,7,8
432,Kurabokko,Japanese,Guardian spirit of a warehouse,9,14,15,17,6,5,30
433,Kurma,Hindu mythology,Second avatar of Vishnu in the form of a Turtle,6,10,20,19,29,10,8
434,Kurupi,Guaraní,Wild man and fertility spirit,17,14,17,11,28,12,25
435,Kushtaka,Tlingit,Shapeshifting otter spirit,18,23,12,23,29,20,15
436,Kwakwakalanooksiwae,Kwakiutl,Bird,9,7,17,11,27,3,20
437,Kyourinrin,Japanese,Animated scroll or paper,10,21,7,12,11,10,28
438,Kyūketsuki,Japanese,Vampire,17,18,26,3,3,19,24
439,Labbu,Akkadian,Sea snake,20,23,30,28,15,11,23
440,Lady midday,Slavic,Sunstroke spirit,7,28,27,6,27,18,1
441,Ladon,Greek,Dragon guarding the golden apples of the Hesperides,24,3,13,10,8,14,7
442,Laelaps,Greek,Enchanted dog that always caught his prey,11,5,5,8,18,28,21
443,Laestrygonians,Greek,Anthropophagic giants,20,7,8,3,12,21,17
444,Lakanica,Slavic,Field spirit,10,16,3,14,7,30,27
445,Lake monster,Worldwide,Gigantic animals reputed to inhabit various lakes around the world,20,26,30,18,18,10,24
446,Lakhey,Nepalese,Demon with fangs,25,17,4,26,3,25,6
447,La Llorona,Latin America,Death spirit associated with drowning,25,16,5,28,27,11,28
448,Lamassu,Akkadian and Sumerian,Protective spirit with the form of a winged bull or lion with a human head,16,29,23,23,17,23,15
449,Lambton Worm,English,Giant worm,5,25,17,3,28,20,20
450,Lamiak,Basque,Water spirit with bird feet,26,18,29,25,28,25,29
451,La Mojana,Colombian,Shapeshifting; female water spirit,28,10,26,21,17,8,26
452,Lampades,Greek,Underworld nymph,23,10,30,19,5,20,21
453,Landvættir,Norse,Nature spirits,16,23,12,16,29,29,25
454,Lares,Roman,House spirit,4,15,27,13,19,25,21
455,La Sayona,Venezuela,Female ghost that punishes unfaithful husbands,21,30,8,26,8,15,6
456,La Tunda,Colombian,Nature spirit that seduces and kills men,3,30,20,6,23,6,10
457,Lava bear,Unknown,Miniature bear thought to inhabit the lava beds of south central Oregon,27,26,4,6,7,30,12
458,Laukų dvasios,Lithuanian,Field spirit,11,14,15,19,18,24,18
459,Lauma,Baltic,Sky spirit,9,21,28,6,4,21,14
460,Lavellan,Scottish,Gigantic water rat,20,7,8,8,11,20,24
461,Leanan sidhe,Celtic,Fairy lover,12,11,4,14,27,16,11
462,Leanashe,Irish,Possessing spirit or vampire,10,24,7,13,5,24,3
463,Leimakids,Greek,Meadow nymph,7,16,29,24,25,4,1
464,Leontophone,Medieval Bestiary,Tiny animal poisonous to lions,10,9,7,19,24,25,5
465,Leprechaun,Irish,Cobbler spirit,12,23,9,20,8,13,0
466,Leszi,Slavic,Tree spirit,12,23,5,16,18,4,18
467,Leuce,Greek,White poplar tree nymph,29,16,7,20,24,18,2
468,Leucrota,Medieval Bestiary,Hybrid of a lion and crocotta,29,28,29,13,25,14,7
469,Leviathan,Jewish,Sea monster; as seen in Job 41,11,23,16,14,30,6,19
470,Leyak,Balinese,Anthropophagous flying head with entrails,6,4,22,26,29,19,4
471,Lidérc,Hungary,Magical chicken that transforms into a humanoid,17,16,11,5,11,25,26
472,Lightning Bird,Southern Africa,Magical bird that can be found at sites of lightning strikes,7,9,12,4,14,22,1
473,Lilitu,Assyrian,Winged demon,20,30,10,5,26,15,11
474,Limnades,Greek,Lake nymph,24,22,4,3,11,23,16
475,Lindworm,Germanic,Dragon,13,23,28,29,17,22,4
476,Ljósálfar,Norse,Sunlight spirits; the Light Elves,9,28,14,30,28,22,27
477,Lóng,Chinese dragon,Dragon,21,22,12,10,5,11,11
478,Loogaroo,French America,Shapeshifting; female vampire,5,21,27,28,29,23,0
479,Lubber fiend,English,House spirit,9,23,28,23,3,9,28
480,Luison,Guaraní,Death spirit,8,28,9,17,23,18,30
481,Lusca,Unkwown,Sea Monster,6,6,26,14,24,26,30
482,Lutin,French,Amusing goblin,7,22,13,8,27,3,4
483,Lynx,Medieval Bestiaries,Feline guide spirit,18,15,3,7,5,4,11
484,Maal,Bengali mythology,Malevolent ghostly mermaid,5,5,3,16,17,11,25
485,Machlyes,Medieval bestiaries,Hermaphroditic humanoid,13,9,23,9,21,24,15
486,Madremonte,Colombian folklore,Nature guardian,11,28,15,8,17,24,5
487,Maero,Māori,Savage; arboreal humanoids,16,6,10,14,7,13,19
488,Magog,English folklore,Giant protector of London,18,11,9,20,22,20,27
489,Mājas gari,Latvian mythology,Benevolent house spirit,19,18,9,15,27,13,11
490,Makara,Indian mythology,Aquatic beings,7,12,27,29,29,27,9
491,Mami Wata,Africa and the African diaspora,Supernaturally beautiful water spirits,27,12,22,8,21,18,5
492,Manananggal,Philippine mythology,Vampires that sever their torsos from their legs to fly around,30,8,20,18,4,18,15
493,Mandrake,Medieval folklore,Diminutive; animated construct,7,19,30,7,10,9,3
494,Manes,Roman mythology,Ancestral spirits,19,10,5,17,12,3,18
495,Mannegishi,Cree,Little people with six fingers and no noses,14,14,5,16,7,4,0
496,Mapinguari,Brazilian mythology,Giant sloth,14,8,17,30,17,7,26
497,Marabbecca,Italian folklore,Malevolent water spirit,3,30,25,11,23,25,15
498,Marid,Arabian mythology,Jinn associated with open waters of the seas and oceans,12,27,22,4,8,5,6
499,Maro deivės,Lithuanian mythology,Disease spirits,13,24,7,24,15,23,20
500,Matagot,French mythology,Spirit that takes animal form; usually that of a black cat,26,11,30,15,3,14,4
501,Mayura,Hindu mythology,Peacock spirit,27,24,30,29,9,20,21
502,Mazikeen,Jewish mythology,Invisible; malevolent spirit,8,11,20,15,29,3,8
503,Mbwiri,Central Africa,Possessing demon,11,26,10,4,22,27,29
504,Meliae,Greek mythology,Ash tree nymph,6,9,3,26,10,13,9
505,Melusine,Medieval folklore,Female water spirit; with the form of a winged mermaid or serpent,9,3,9,5,10,25,24
506,Menehune,Hawaiian mythology,Little people and craftsmen,5,16,13,27,13,17,13
507,Menninkäinen,Finnish mythology,Little people and nature spirits,11,29,22,9,28,28,27
508,Merlion,Singapore,Combination of a lion and a fish; the symbol of Singapore,18,22,16,4,8,15,26
509,Mimi,Australian Aboriginal mythology,Extremely elongated humanoid that has to live in rock crevasses to avoid blowing away,15,15,8,9,13,30,29
510,Minka Bird,Australian Aboriginal mythology,Death spirit,14,20,26,8,21,8,0
511,Minokawa,Philippine,Giant swallow,13,28,28,8,4,19,17
512,Mishibizhiw,Ojibwa,Feline water spirit,26,3,12,19,21,17,23
513,Mizuchi,Japanese mythology,Water dragon,5,5,4,14,19,5,2
514,Mngwa,Tanzania,Gigantic; ferocious nocturnal feline,9,17,24,28,13,3,17
515,Mogwai,Chinese mythology,Vengeful ghost or demon,30,30,13,23,29,19,15
516,Mohan,Latin American folklore,Nature spirit,7,30,27,22,12,16,1
517,Mokoi,Australian Aboriginal mythology,Malevolent spirit that kills sorcerers,15,12,22,6,13,4,1
518,Moñái,Guaraní mythology,Giant snake with antennae,8,19,24,24,6,11,5
519,Mono Grande,South America,Giant monkey,15,9,5,4,25,25,9
520,Monopod,Medieval bestiaries,Dwarf with one giant foot,29,6,28,29,10,5,24
521,Mooinjer veggey,Manx folklore,Nature spirit,8,12,29,11,5,10,13
522,Mora,Slavic mythology,Disembodied spirit,6,27,7,11,5,11,3
523,Morgens,Breton and Welsh mythology,Water spirits,18,17,19,22,5,13,7
524,Mormolykeia,Greek,Underworld spirit,20,3,8,23,24,16,5
525,Moroi,Romanian,Vampiric ghost,3,14,8,7,22,17,7
526,Moss people,Continental Germanic mythology,Little people and tree spirits,10,15,5,27,28,23,12
527,Mujina,Japanese mythology,Shapeshifting badger spirit,25,4,3,28,8,14,25
528,Muldjewangk,Australian Aboriginal mythology,Water monster,6,20,13,12,3,7,24
529,Multo,Philippine mythology,Spirit of a deceased person seeking justice or has unfinished business,3,7,10,11,3,28,21
530,Muse,Greek mythology,Spirits that inspire artists,29,6,16,29,21,30,5
531,Myling,Scandinavian folklore,Ghosts of unbaptized children,27,4,6,28,15,7,18
532,Nachzehrer,German,Anthropophagous undead,15,12,18,18,17,10,14
533,Naga fireballs,Thai,Spectral fire,22,19,25,23,15,20,23
534,Naiad,Greek,Freshwater nymph,10,6,17,5,7,11,17
535,Näkki,Finnish,Water spirit,11,4,9,11,17,18,30
536,Namahage,Japanese,Ritual disciplinary demon from the Oga Peninsula,6,12,8,29,23,21,4
537,Namazu,Japanese,Giant catfish whose thrashing causing earthquakes,14,9,17,19,6,10,3
538,Nang Takian,Thai,Tree spirit,12,23,17,15,13,6,5
539,Napaeae,Greek,Grotto nymph,21,28,4,16,28,22,2
540,Narecnitsi,Slavic,Fate spirit,6,28,10,28,4,20,6
541,Nariphon,Thai,Pod people,19,16,21,29,29,4,16
542,Nargun,Gunai,Water monster,30,24,24,29,7,4,25
543,Nav',Slavic,Ghost,6,30,27,28,11,15,1
544,Nawao,Hawaiian,Savage humanoid,29,4,8,10,4,6,13
545,Neck,Germanic mythology,Female water spirit,21,3,19,18,30,10,22
546,Negret,Catalan,Little people that turn into coins,6,13,6,13,26,18,12
547,Nekomusume,Japanese,Cat in the form of a girl,19,3,21,15,6,29,6
548,Nemean Lion,Greek,Lion with impenetrable skin,19,17,10,28,5,13,26
549,Nephilim,Abrahamic mythology,Gigantic sons of Grigori and human women,26,25,5,15,29,22,17
550,Nereid,Greek,Nymph daughters of Nereus,11,29,11,10,16,30,7
551,Ngen,Mapuche,Nature spirit,26,27,24,7,12,18,19
552,Nian,Chinese,Predatory animal,16,27,25,18,25,23,20
553,Nightmarchers,Hawaiian,Warrior ghosts,12,10,10,11,21,22,1
554,Nikusui,Japanese,Monster which appears as a young woman and sucks all of the flesh off of its victim's body,12,11,8,16,11,17,29
555,Nimerigar,Shoshone,Aggressive little people,11,14,28,20,25,7,27
556,Ninki Nanka,Western Africa,Large reptile; possibly a dragon,7,4,13,29,20,7,0
557,Nisse,Scandinavian,House spirit,7,3,3,16,16,24,19
558,Níðhöggr,Norse,Dragon,15,30,26,24,30,30,2
559,Nivatakavachas,Hindu,Ocean demon,9,27,20,3,27,8,1
560,Nix,Germanic,Female water spirit,27,23,27,4,26,17,1
561,Nobusuma,Japanese,Supernatural wall; also a monstrous flying squirrel,23,7,17,24,5,27,8
562,Nocnitsa,Slavic,Nightmare spirit,28,20,17,25,7,28,7
563,Nozuchi,Japanese,Small sea serpent,29,10,6,25,17,17,8
564,Nü Gui,Chinese,Vengeful female ghost,14,20,12,26,12,18,15
565,Nukekubi,Japanese,Disembodied; flying head that attacks people,29,20,4,3,3,29,14
566,Numen,Roman,Tutelary spirit,26,19,14,23,22,7,14
567,Nuno,Philippine,Malevolent little people,30,30,27,27,3,11,25
568,Nuppeppo,Japanese,Animated chuck of dead flesh,26,5,10,14,27,30,28
569,Nurikabe,Japanese,Spirit that manifests as an impassable; invisible wall,4,3,26,22,18,19,7
570,Nykštukas,Lithuanian,Cavern spirit,19,30,4,26,16,11,30
571,Nymph,Greek,Nature spirit,5,10,17,30,17,7,11
572,Obake,Japanese,Shapeshifting spirits,3,7,25,10,6,14,14
573,Obariyon,Japanese,Spook which rides piggyback on a human victim and becomes unbearably heavy,19,8,10,16,19,30,1
574,Obayifo,Ashanti,Vampiric possession spirit,24,17,23,7,16,17,15
575,Obia,West Africa,Gigantic animal that serves witches,28,20,30,29,26,6,17
576,Oceanid,Greek,Nymph daughters of Oceanus,16,16,28,28,23,17,28
577,Odei,Basque,Storm spirit,30,4,9,12,17,8,18
578,Odmience,Slavic,Changeling,17,16,22,6,28,21,0
579,Og,Jewish,Giant king of the Amorites,13,3,24,16,22,25,15
580,Ogre,Medieval folklore,Large; grotesque humanoid,22,21,30,29,7,21,13
581,Oiwa,Japanese,Ghost of a woman with a distorted face who was murdered by her husband,13,24,14,15,17,3,14
582,Ojáncanu,Cantabrian,Giant cyclops who embodies evil.,7,28,18,6,4,15,25
583,Ōkubi,Japanese,Death spirit,25,30,9,13,13,20,20
584,Oni,Japanese,Large; grotesque humanoid demon; usual having red skin and horns,8,3,6,5,13,22,23
585,Onibi,Japanese,Spectral fire,19,28,24,6,10,18,2
586,Onoskelis,Greek,Shapeshifting demon,23,5,30,4,10,14,18
587,Onryō,Japanese,Vengeful ghost that manifests in a physical rather than a spectral form,18,30,26,26,17,24,10
588,Onza,Aztec and Latin American folklore,Wild cat; possibly a subspecies of cougar,20,29,6,16,25,24,8
589,Oozlum bird,Unknown origin,Bird that flies backwards,27,20,21,6,12,16,12
590,Orang Bunian,Malay,Forest spirit,29,9,27,23,17,30,27
591,Orang Minyak,Malay,Spectral rapist,18,14,28,6,13,16,10
592,Ördög,Hungarian,Shapeshifting demon,10,13,19,24,10,22,9
593,Oread,Greek,Mountain nymph,5,7,8,28,9,7,29
594,Ork,Tyrolean,Little people and house spirits,22,15,3,25,14,30,29
595,Osiris,Hellenized,God of the dead and the judge of the underworld,7,21,13,6,16,9,5
596,Oshun,Nigeria,God of love and fertility,3,29,18,21,22,10,7
597,Otso,Finnish,Bear spirit,23,7,18,3,27,29,5
598,Ouroboros,Worldwide,Mystic serpent/dragon that eats its own tail,25,7,27,8,6,4,29
599,Ovinnik,Slavic,Malevolent threshing house spirit,12,4,7,5,27,25,28
600,Paasselkä devils,Finnish,Spectral fire,13,29,12,8,25,11,24
601,Pamola,Abenaki,Weather spirit,3,9,8,11,4,25,20
602,Pandi,Medieval Bestiary,Humanoid with giant ears; eight fingers and toes; and white hair,27,19,30,14,24,3,19
603,Panis,Hindu,Demons with herds of stolen cows,13,9,13,30,21,26,8
604,Panlong,Chinese,Water dragon,15,6,19,19,5,3,4
605,Panotti,Medieval Bestiaries,Humanoid with gigantic ears,7,22,27,16,19,9,2
606,Panther,Medieval Bestiaries,Feline with sweet breath,7,24,24,28,30,21,16
607,Parandrus,Medieval Bestiaries,Shapeshifting animal whose natural form was a large ruminant,13,26,12,6,19,13,23
608,Pard,Medieval Bestiaries,Fast; spotted feline believed to mate with lions to produce leopards,23,23,5,13,12,28,17
609,Patagon,Medieval folklore,Giant race reputed to live in the area of Patagonia,21,17,30,23,19,29,18
610,Pech,Scottish,Strong little people,22,8,10,22,10,22,30
611,Pegaeae,Greek,Spring nymph,29,9,22,11,5,17,27
612,Pegasus,Greek,Winged horse,26,16,22,7,25,21,10
613,Pegacorn,Unknown,Pegasus combined with a unicorn,7,9,29,6,30,22,10
614,Pelesit,Malay,Servant spirit,21,28,16,17,14,29,1
615,Peluda,French,Dragon,3,24,16,8,3,27,21
616,Penanggalan,Philippine,Vampires that sever their heads from their bodies to fly around; usually with their intestines or other internal organs trailing behind,22,10,11,4,5,13,30
617,Peng,Chinese,Giant bird,22,23,12,14,16,24,10
618,Penghou,Chinese,Tree spirit,5,5,7,13,17,24,25
619,Peri,Persian,Winged humanoid,25,13,9,27,14,21,12
620,Pesanta,Catalan,Nightmare demon in the form of a cat or dog,16,14,19,9,8,6,24
621,Peuchen,Chilota and Mapuche,Vampiric; flying; shapeshifting serpent,6,15,6,7,29,27,28
622,Phi Tai Hong,Unknown,Ghost of a person who has died suddenly of a violent or cruel death in Thai folklore,19,22,20,8,22,24,29
623,Phoenix,Phoenician,Regenerative bird,7,9,10,10,16,29,6
624,Piatek,Armenian,Large land animal,11,17,4,28,7,17,8
625,Pictish Beast,Pictish stones,Stylistic animal; possibly a dragon,19,7,21,15,10,11,30
626,Pillan,Mapuche,Nature spirit,16,5,20,19,12,11,23
627,Piru,Finnish,Minor demon,5,22,6,22,21,27,26
628,Pixie,Cornish,Little people and nature spirits,21,5,19,11,6,17,6
629,Pixiu,Chinese,Winged lion,26,23,24,3,3,22,1
630,Plakavac,Slavic,Vampire created when a mother strangles her child,3,9,16,26,9,3,6
631,Polevik,Polish,Little people and field spirits,28,15,5,16,18,30,19
632,Polong,Malay,Invisible servant spirit,5,29,21,29,10,17,27
633,Poltergeist,German,Ghost that moves objects,14,16,7,9,21,14,1
634,Pombero,Guaraní,Wild man and nature spirit,22,3,27,26,22,19,5
635,Ponaturi,Māori,Grotesque; malevolent humanoid,16,8,22,14,12,18,19
636,Pontianak,Malay,Undead; vampiric women who died in childbirth,29,16,24,29,19,5,5
637,Poukai,Māori,Giant bird,10,27,24,28,19,4,1
638,Preta,Buddhist; Hindu; and Jain,Ghosts of especially greedy people,12,11,6,27,14,17,6
639,Psotnik,Slavic,Mischievous spirit,10,20,8,22,23,8,10
640,Psychopomp,Greek,Creatures; spirits; angels; or deities in many religions whose responsibility is to escort newly deceased souls from Earth to the afterlife,6,15,16,20,18,4,25
641,Pterippus,Greek,Winged horse,12,29,8,28,22,4,12
642,Púca,Welsh,Shapeshifting animal spirit,9,19,16,25,25,30,28
643,Púki,Icelandic,Malevolent little person,11,7,14,28,11,19,7
644,Puck,English,House spirit,10,3,23,9,24,4,9
645,Putz,German,House spirit,12,17,26,10,21,5,4
646,Pugot,Philippine,Headless humanoid,25,22,12,28,7,11,15
647,Puk,Frisian,House spirit,20,10,10,7,14,15,1
648,Pūķis,Latvian,Malevolent house spirit,6,4,6,17,23,27,30
649,Pygmy,Greek,Little people,25,12,13,12,6,26,0
650,Python,Greek,Serpentine dragon,25,5,7,25,8,15,10
651,Qalupalik,Inuit mythology,Aquatic human abductor,19,19,28,20,14,27,10
652,Qiqirn,Inuit,Large; bald dog spirit,30,5,10,19,16,12,8
653,Qliphoth,Jewish,Evil spirits,18,26,20,16,22,13,29
654,Quetzalcoatl,Aztec," Important god of the Aztec people; name meaning ""feathered serpent""; not to be confused with the quetzal; which is a type of bird",12,20,18,5,7,8,21
655,Rå,Norse,Spirit that protects a specific place,8,21,10,29,27,20,19
656,Rabisu,Akkadian,Vampiric spirit that ambushes people,6,23,19,22,10,18,14
657,Radande,Swedish,Tree spirit,29,7,14,18,25,5,21
658,Ragana,Lithuanian,Malevolent witch,7,9,30,21,20,21,7
659,Raijū,Japanese,Lightning spirit,7,10,21,24,5,25,12
660,Rain Bird,Native American,Rain spirit,28,25,14,29,6,27,13
661,Rainbow crow,Lenape,Crow spirit,21,28,11,13,17,12,5
662,Rainbow Serpent,Australian Aboriginal,Snake,9,23,24,8,7,20,24
663,Rakshasa,Buddhist and Hindu,Shapeshifting demon,25,22,4,29,21,15,10
664,Raróg,Slavic,Whirlwind spirit,22,4,24,28,14,10,15
665,Raven Spirit,Native American; Norse; and Siberian,Trickster spirit,8,18,29,27,11,4,28
666,Ratatoskr,Norse,Squirrel spirit,24,22,28,12,4,14,22
667,Redcap,English,Malevolent; grotesque humanoid,12,21,16,30,9,20,21
668,Re’em,Jewish,Gigantic land animal,26,3,27,25,11,14,14
669,Reichsadler,Heraldic,Eagle; sometimes depicted with two heads,30,20,3,17,18,7,13
670,Rephaite,Jewish,Giant,22,20,22,9,24,28,10
671,Revenant,Medieval folklore,Reanimated dead,21,8,27,26,7,20,4
672,Roc,Arabian and Persian,Gigantic bird,22,12,25,4,13,28,7
673,Rompo,Africa and India,Skeletal creature with elements of a rabbit; badger; and bear,29,29,3,14,29,19,9
674,Rusalka,Slavic,Female water spirit,16,9,19,16,28,6,6
675,Ryū,Japanese,dragon,29,17,10,11,15,9,19
676,Sagari,Japanese,Horse's head that dangles from trees on Kyūshū,3,14,22,13,26,13,11
677,Salamander,Alchemy,Fire elemental,12,7,17,25,17,18,15
678,Samodiva,Slavic,Nature spirit,26,28,14,3,30,4,14
679,Santelmo,Philippine,Spirits in a form of fireball; roaming around the forest,19,27,25,8,7,6,30
680,Sânziană,Romanian,Nature spirit,15,6,10,6,26,3,17
681,Sarimanok,Philippine,Bird of good fortune,9,6,12,3,21,20,22
682,Sarngika,Hindu,Bird spirit,20,26,15,28,30,9,20
683,Sarugami,Japanese,Wicked monkey spirit which was defeated by a dog,24,8,24,20,5,7,21
684,Satyrus,Medieval Bestiary,Apes who always bear twins; one the mother loves; the other it hates,20,3,4,16,8,23,3
685,Sceadugenga,English,Shapeshifting undead,17,22,24,20,24,27,1
686,Scitalis,Medieval Bestiaries,Snake which mesmerizes its prey,29,29,25,26,28,10,20
687,Sea monster,Worldwide,Giant; marine animals,25,4,17,28,28,27,11
688,Sea serpent,Worldwide,Serpentine sea monster,22,3,15,3,25,7,4
689,Seko,Japanese,Water spirit which can be heard making merry at night,21,7,12,6,25,22,19
690,Seps,Medieval Bestiaries,Snake with highly corrosive venom,26,14,14,24,29,6,17
691,Serpent,Worldwide,Snake spirit,9,10,29,27,17,21,28
692,Shade,Worldwide,Spiritual imprint,14,13,14,24,30,18,20
693,Shadow People,American,Malevolent ghost,15,11,13,8,16,22,2
694,Shahbaz,Persian,Giant eagle or hawk,7,8,11,9,18,18,25
695,Shaitan Islam,Unknown,Similar to Lucifer from the Bible,9,10,4,11,27,6,16
696,Shedu,Akkadian and Sumerian,Protective spirit with the form of a winged bull or lion with a human head,27,6,4,3,29,23,20
697,Shellycoat,English; Scottish and German; as schellenrocc,Water spirit,24,8,7,21,17,16,23
698,Shen,Chinese,Shapeshifing sea monster,25,30,6,15,3,24,14
699,Shenlong,Chinese,Weather dragon,20,3,9,12,13,3,8
700,Shibaten,Japanese,Water spirit from Shikoku,27,30,20,15,12,30,25
701,Shikome,Japanese,Underworld hag,26,15,7,8,24,9,9
702,Shinigami,Japanese," ""Death god""",18,27,20,23,4,3,29
703,Shirouneri,Japanese,Animated mosquito netting or dust cloth,11,8,22,28,14,4,10
704,Shiryō,Japanese,Spirit of a dead person,6,27,30,12,26,23,11
